id,term,originalHeadword,type,sourceGroup,meaning,partOfSpeech,pattern,example,collocation,commonMistake,synonymOrContrast,register,pronunciation,category,level,senseId
v0211,evidence,,academic/professional word,AWL-derived core,one or more reasons for believing something,noun,evidence of/for + noun; evidence that + clause,"The committee requested stronger evidence before changing the policy, so the people affected could understand the practical consequence.",supporting evidence; evidence suggests that,"Evidence is uncountable; say “a piece of evidence,” not “an evidence.”","evidence means one or more reasons for believing something. By contrast, inquiry means a process of asking questions and investigating evidence.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /ɛvədəns/ Stress syllable 1 of 3. For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. Keep the final /s/ audible.",evidence,B2,v0211-s1
v0212,evolution,,academic/professional word,AWL-derived core,a gradual process of development or change,noun,evolution of + system/idea,"The course examines the evolution of scientific ideas over time, which gave the teacher clearer information for the following lesson.",biological evolution; gradual evolution,Check whether evolution is countable in this meaning before adding “a” or a plural ending.,"evolution means a gradual process of development or change. By contrast, transformation means a complete change or the process of change.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɛvəluʃən/ Stress syllable 3 of 4. Use a clear /ʃ/ “sh” sound. For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. Keep the final /n/ audible.",change and trends,C1,v0212-s1
v0213,exceed,,academic/professional word,AWL-derived core,"to be more than a number, amount or allowed limit",verb,exceed + noun,"Actual costs may exceed the original estimate, which gave the people involved a clearer basis for the next step.",exceed expectations; exceed a limit,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"exceed means to be more than a number, amount or allowed limit. By contrast, impose means to force a rule, requirement, or burden on someone.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɪksid/ Stress syllable 2 of 2. Keep short /ɪ/ distinct from long /i/. Keep the final /d/ audible.,general academic and professional,C1,v0213-s1
v0214,exclude,excluded,academic/professional word,AWL-derived core,to deliberately leave something or someone out,verb,exclude + noun + from + noun,"Incomplete surveys were excluded from the final analysis, so the team could interpret the evidence with less uncertainty.",exclude X from Y; exclude category,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"exclude means to deliberately leave something or someone out. By contrast, eliminate means to get rid of, remove, or leave out.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɪksklud/ Stress syllable 2 of 2. Keep /ɪ/ short and relaxed, as in sit. Keep the final /d/ audible.",general academic and professional,C1,v0214-s1
v0215,exhibit,,academic/professional word,AWL-derived core,to show. display or reveal,verb,exhibit + noun,"The material exhibits different properties at high temperatures, which gave the people involved a clearer basis for the next step.",exhibit a pattern; exhibit symptoms,Do not use exhibit as a noun without changing its form; also check the required preposition or object.,"exhibit means to show. display or reveal. By contrast, reveal means to make previously unknown information visible or known.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɪɡzɪbɪt/ Stress syllable 2 of 3. For /b/, close both lips completely. Keep /ɪ/ short and relaxed, as in sit. Keep the final /t/ audible.",general academic and professional,B2,v0215-s1
v0216,expansion,,academic/professional word,AWL-derived core,an increase in size of something,noun,expansion of/into + noun,"The district approved the expansion of the career-technical program, which gave the teacher clearer information for the following lesson.",rapid expansion; program expansion,Check whether expansion is countable in this meaning before adding “a” or a plural ending.,"expansion means an increase in size of something. By contrast, transformation means a complete change or the process of change.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɪkspænʃən/ Stress syllable 2 of 3. Use a clear /ʃ/ “sh” sound. Keep /ɪ/ short and relaxed, as in sit. Keep the final /n/ audible.",change and trends,B2,v0216-s1
v0217,expert,,academic/professional word,AWL-derived core,a person with great skill or knowledge of a subject,noun,expert in/on + field,"The school consulted an expert in laboratory safety, so the class could connect the idea to the next activity.",subject-matter expert; leading expert,Check whether expert is countable in this meaning before adding “a” or a plural ending.,"expert means a person with great skill or knowledge of a subject. By contrast, area means a subject or specialization, or part of it.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɛkspɚt/ Stress syllable 1 of 2. Keep the final /t/ audible.,general academic and professional,C1,v0217-s1
v0218,explicit,,academic/professional word,AWL-derived core,"clear and detailed, not implicit",adjective,explicit + noun; be explicit about + noun,"The instructions were explicit about the required format and deadline, so the group could make the next decision with clearer information.",explicit instruction; make explicit,Use explicit before a noun or after a linking verb; do not use it as an adverb without the correct form.,"explicit means clear and detailed, not implicit. By contrast, implicit means understood without being said.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɪksplɪsət/ Stress syllable 2 of 3. Keep /ɪ/ short and relaxed, as in sit. Keep the final /t/ audible.",general academic and professional,C1,v0218-s1
v0219,exploitation,,academic/professional word,AWL-derived core,"good use of resources, or unfair use of people",noun,exploitation of + people/resources,"The policy aims to prevent the exploitation of temporary workers, which allowed the board to explain the decision more transparently.",resource exploitation; unfair exploitation,Check whether exploitation is countable in this meaning before adding “a” or a plural ending.,"exploitation means good use of resources, or unfair use of people. By contrast, resource allocation means the process of deciding how time, money, or people will be used.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɛksplɔɪteɪʃən/ Stress syllable 3 of 4. Use a clear /ʃ/ “sh” sound. Keep the final /n/ audible.,planning and projects,C1,v0219-s1
v0220,export,,academic/professional word,AWL-derived core,to send goods to another country,verb,export + noun + to/as + format,"The teacher exported the grade report as a spreadsheet, so the class could connect the idea to the next activity.",export data; export to,Do not use export as a noun without changing its form; also check the required preposition or object.,"export means to send goods to another country. By contrast, transport means to carry from one place to another.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɛkspɔrt/ Stress syllable 1 of 2. Keep the final /t/ audible.,general academic and professional,B2,v0220-s1
v0221,exposure,,academic/professional word,AWL-derived core,being affected by something in a particular place,noun,exposure to + noun,"Repeated exposure to new vocabulary improves recognition but not necessarily recall, which gave the reviewers a clearer basis for evaluating the conclusion.",exposure to language; prolonged exposure,Check whether exposure is countable in this meaning before adding “a” or a plural ending.,"exposure means being affected by something in a particular place. By contrast, stakeholder means a person or group affected by or interested in a decision.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɪkspoʊʒɚ/ Stress syllable 2 of 3. Use /ʒ/ “zh,” as in measure. Keep /ɪ/ short and relaxed, as in sit.",cause and effect,B2,v0221-s1
v0222,external,,academic/professional word,AWL-derived core,relating to or existing outside,adjective,external + noun,"External funding allowed the school to purchase new laboratory equipment, which allowed leaders to direct limited resources toward the highest-priority work.",external factor; external source,Use external before a noun or after a linking verb; do not use it as an adverb without the correct form.,"external means relating to or existing outside. By contrast, voluntary means done willingly and without external force.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɪkstɝnəl/ Stress syllable 2 of 3. Keep /ɪ/ short and relaxed, as in sit. Keep the final /l/ audible.",general academic and professional,C1,v0222-s1
v0223,extract,,academic/professional word,AWL-derived core,"to get from source, pull out, or get by force",verb,extract + noun + from + noun,"Students extracted the relevant values from the table, so the class could connect the idea to the next activity.",extract information; extract X from Y,Do not use extract as a noun without changing its form; also check the required preposition or object.,"extract means to get from source, pull out, or get by force. By contrast, derive means to obtain or develop something from a particular source.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɪkstrækt/ Stress syllable 2 of 2. Keep /ɪ/ short and relaxed, as in sit. Keep the final /t/ audible.",general academic and professional,C1,v0223-s1
v0224,facilitate,,academic/professional word,AWL-derived core,to make something easy or easier to do,verb,facilitate + noun,"Clear sentence frames can facilitate productive classroom discussion, so the class could connect the idea to the next activity.",facilitate learning; facilitate a meeting,Do not use facilitate as a noun without changing its form; also check the required preposition or object.,"facilitate means to make something easy or easier to do. By contrast, enhance means to improve the quality, value, or effectiveness of something.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /fəsɪləteɪt/ Stress syllable 2 of 4. Keep /ɪ/ short and relaxed, as in sit. Keep the final /t/ audible.",general academic and professional,C1,v0224-s1
v0225,factor,factors,academic/professional word,AWL-derived core,facts which contribute to the result of something,noun,factor affecting + noun; factor that + clause,"Several factors contributed to the decline in attendance, so the team could interpret the evidence with less uncertainty.",key factor; contributing factor,Check whether factor is countable in this meaning before adding “a” or a plural ending.,"factor means facts which contribute to the result of something. By contrast, causation means a relationship in which one factor directly produces another.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /fæktɚ/ Stress syllable 1 of 2.,cause and effect,B2,v0225-s1
v0226,feature,features,academic/professional word,AWL-derived core,the important or typical parts of something,noun,feature of + product/system,"The software’s accessibility features support users with visual impairments, which gave the people involved a clearer basis for the next step.",key feature; distinctive feature,Check whether feature is countable in this meaning before adding “a” or a plural ending.,"feature means the important or typical parts of something. By contrast, specification means a detailed statement of required features or standards.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /fitʃɚ/ Stress syllable 1 of 2. Use a crisp /tʃ/ “ch” sound.,general academic and professional,B2,v0226-s1
v0227,federal,,academic/professional word,AWL-derived core,relating to a central government,adjective,federal + noun,"Federal regulations require schools to protect certain student records, which gave the teacher clearer information for the following lesson.",federal law; federal funding,Use federal before a noun or after a linking verb; do not use it as an adverb without the correct form.,"federal means relating to a central government. By contrast, constitutional means relating to the laws and principles of a government.",academic and professional; also useful in formal explanations,IPA (stress shown separately): /fɛdɚəl/ Stress syllable 1 of 3. Keep the final /l/ audible.,policy and society,C1,v0227-s1
v0228,fee,fees,academic/professional word,AWL-derived core,an amount of money paid for a piece of work or service,noun,fee for + service,"Students may request a waiver of application fees, which gave the teacher clearer information for the following lesson.",tuition fee; service fee,Check whether fee is countable in this meaning before adding “a” or a plural ending.,"fee means an amount of money paid for a piece of work or service. By contrast, task means a piece of work that is either difficult or unpleasant.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /fi/ Stress syllable 1 of 1.,workplace and leadership,C1,v0228-s1
v0229,file,,academic/professional word,AWL-derived core,to store in order or record officially,verb,file + noun + with + organization,"The organization filed the required report before the deadline, so the group could make the next decision with clearer information.",file a report; file a complaint,Do not use file as a noun without changing its form; also check the required preposition or object.,"file means to store in order or record officially. By contrast, attach means to add a file or connect one thing to another.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /faɪl/ Stress syllable 1 of 1. Let /aɪ/ glide smoothly, as in my. Keep the final /l/ audible.",general academic and professional,C1,v0229-s1
v0230,final,,academic/professional word,AWL-derived core,last,adjective,final + noun,"The committee will make a final decision after the public comment period, so the people affected could understand the practical consequence.",final decision; final version,Use final before a noun or after a linking verb; do not use it as an adverb without the correct form.,"final means last. By contrast, arbitrary means based on chance rather than reason.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /faɪnəl/ Stress syllable 1 of 2. Let /aɪ/ glide smoothly, as in my. Keep the final /l/ audible.",general academic and professional,B2,v0230-s1
v0231,financial,,academic/professional word,AWL-derived core,relating to the management of money,adjective,financial + noun,"The district reviewed the financial impact before approving the program, so the class could connect the idea to the next activity.",financial support; financial constraint,Use financial before a noun or after a linking verb; do not use it as an adverb without the correct form.,"financial means relating to the management of money. By contrast, professional means relating to or conforming to the standards of work.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /fənænʃəl/ Stress syllable 2 of 3. Use a clear /ʃ/ “sh” sound. Keep the final /l/ audible.,workplace and leadership,B2,v0231-s1
v0232,finite,,academic/professional word,AWL-derived core,"countable, or having an end or limit",adjective,finite + noun; be finite,"The project has a finite budget and a fixed deadline, so decision makers could see how the available resources would support the stated goal.",finite amount; finite resource,Use finite before a noun or after a linking verb; do not use it as an adverb without the correct form.,"finite means countable, or having an end or limit. By contrast, physical means of the body, or having material existence.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /faɪnaɪt/ Stress syllable 1 of 2. Let /aɪ/ glide smoothly, as in my. Keep the final /t/ audible.",general academic and professional,C1,v0232-s1
v0233,flexibility,,academic/professional word,AWL-derived core,"ability to bend, change or be changed",noun,flexibility in + noun; flexibility to + verb,"The revised schedule gives teachers more flexibility, which gave the teacher clearer information for the following lesson.",greater flexibility; flexibility to,Check whether flexibility is countable in this meaning before adding “a” or a plural ending.,"flexibility means ability to bend, change or be changed. By contrast, transformation means a complete change or the process of change.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /flɛksəbɪləti/ Stress syllable 3 of 5. For /b/, close both lips completely. Keep short /ɪ/ distinct from long /i/.",change and trends,C1,v0233-s1
v0234,fluctuation,fluctuations,academic/professional word,AWL-derived core,"irregular variations, or rises and falls",noun,fluctuation in + value,"Daily fluctuations in temperature affected the measurements, so the team had stronger evidence before drawing a conclusion.",price fluctuation; seasonal fluctuation,Check whether fluctuation is countable in this meaning before adding “a” or a plural ending.,"fluctuation means irregular variations, or rises and falls. By contrast, index means a numerical scale or organized reference list.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /flʌktʃueɪʃən/ Stress syllable 3 of 4. Use a clear /ʃ/ “sh” sound. Use a crisp /tʃ/ “ch” sound. Keep the final /n/ audible.,general academic and professional,C1,v0234-s1
v0235,focus,,academic/professional word,AWL-derived core,"the center of interest, activity, or attention",noun,focus of + discussion; focus on + topic,"The main focus of the meeting was student attendance, which gave the teacher clearer information for the following lesson.",central focus; focus on,Check whether focus is countable in this meaning before adding “a” or a plural ending.,"focus means the center of interest, activity, or attention. By contrast, topic means subject of a text or discussion.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /foʊkəs/ Stress syllable 1 of 2. Keep the final /s/ audible.,general academic and professional,B2,v0235-s1
v0236,format,,academic/professional word,AWL-derived core,"arrangement, layout or plan",noun,format for + document; in + format,"Submit the assignment in PDF format, so the class could connect the idea to the next activity.",standard format; file format,Check whether format is countable in this meaning before adding “a” or a plural ending.,"format means arrangement, layout or plan. By contrast, contingency means a possible future event that requires a backup plan.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /fɔrmæt/ Stress syllable 1 of 2. Keep the final /t/ audible.,planning and projects,B2,v0236-s1
v0237,formula,,academic/professional word,AWL-derived core,a standard way of making or doing something,noun,formula for + calculation,"Students used the formula to calculate the area of the circle, so the class could connect the idea to the next activity.",mathematical formula; formula for,Check whether formula is countable in this meaning before adding “a” or a plural ending.,"formula means a standard way of making or doing something. By contrast, method means a way of doing something.",academic and professional; also useful in formal explanations,IPA (stress shown separately): /fɔrmjələ/ Stress syllable 1 of 3.,STEM and technology,C1,v0237-s1
v0238,forthcoming,,academic/professional word,AWL-derived core,happening soon,adjective,forthcoming + noun; be forthcoming,"The forthcoming report will include results from the second year of the study, so the team could interpret the evidence with less uncertainty.",forthcoming report; forthcoming publication,Use forthcoming before a noun or after a linking verb; do not use it as an adverb without the correct form.,"forthcoming means happening soon. By contrast, annual means happening once a year.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /fɔrθkʌmɪŋ/ Stress syllable 1 of 3. Keep /ɪ/ short and relaxed, as in sit. Keep the final /ŋ/ audible.",general academic and professional,C1,v0238-s1
v0239,foundation,,academic/professional word,AWL-derived core,a basic principle or structure on which something is built,noun,foundation for/of + noun,"Trust is the foundation of an effective partnership, which gave the people involved a clearer basis for the next step.",strong foundation; theoretical foundation,Check whether foundation is countable in this meaning before adding “a” or a plural ending.,"foundation means a basic principle or structure on which something is built. By contrast, principle means a basic generalization that is accepted as true.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /faʊndeɪʃən/ Stress syllable 2 of 3. Use a clear /ʃ/ “sh” sound. Keep the final /n/ audible.,general academic and professional,C1,v0239-s1
v0240,found,founded,academic/professional word,AWL-derived core,to establish an organization or institution,verb,found + noun; be found by/in,"The nonprofit was founded by a group of local educators, which gave the people involved a clearer basis for the next step.",found an organization; found in,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"found means to establish an organization or institution. By contrast, establish means to create, set, or demonstrate something clearly.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /faʊnd/ Stress syllable 1 of 1. Keep the final /d/ audible.,general academic and professional,B2,v0240-s1
v0241,framework,,academic/professional word,AWL-derived core,an outline or basic description of a complex process,noun,framework for + noun/gerund,"The framework connects learning goals, activities, and assessments, so the class could connect the idea to the next activity.",conceptual framework; analytical framework,Check whether framework is countable in this meaning before adding “a” or a plural ending.,"framework means an outline or basic description of a complex process. By contrast, theory means an organized system of accepted knowledge.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /freɪmwɝk/ Stress syllable 1 of 2. For /w/, round the lips; do not touch the teeth. Keep the final /k/ audible.",STEM and technology,B2,v0241-s1
v0242,function,,academic/professional word,AWL-derived core,"the purpose of something, or the duty of a person",noun,function of + object; function is to + verb,"The function of the sensor is to detect changes in pressure, which gave the people involved a clearer basis for the next step.",primary function; mathematical function,Check whether function is countable in this meaning before adding “a” or a plural ending.,"function means the purpose of something, or the duty of a person. By contrast, incentive means something that encourages or motivates a person to do.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /fʌŋkʃən/ Stress syllable 1 of 2. Use a clear /ʃ/ “sh” sound. Keep the final /n/ audible.,general academic and professional,C1,v0242-s1
v0243,fundamental,,academic/professional word,AWL-derived core,"basic, central, or more important than anything else",adjective,fundamental + noun; be fundamental to + noun,"Measurement is a fundamental part of scientific investigation, which reduced uncertainty about whether the first result was reliable.",fundamental principle; fundamental to,Use fundamental before a noun or after a linking verb; do not use it as an adverb without the correct form.,"fundamental means basic, central, or more important than anything else. By contrast, radical means fundamental or extreme.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /fʌndəmɛntəl/ Stress syllable 3 of 4. Keep the final /l/ audible.,general academic and professional,C1,v0243-s1
v0244,fund,funds,academic/professional word,AWL-derived core,money available for a specific purpose,noun,fund for + purpose,"The grant provides funds for teacher training and equipment, so decision makers could see how the available resources would support the stated goal.",public fund; allocate fund,Check whether fund is countable in this meaning before adding “a” or a plural ending.,"fund means money available for a specific purpose. By contrast, allocation means a share of something for a specific purpose.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /fʌnd/ Stress syllable 1 of 1. Keep the final /d/ audible.,general academic and professional,C1,v0244-s1
v0245,furthermore,,academic/professional word,AWL-derived core,in addition,adverb,"furthermore, + clause","The proposal is affordable; furthermore, it can be implemented quickly.","furthermore,; and furthermore",Check sentence position and punctuation; many sentence adverbs take a comma when they introduce a clause.,"furthermore means in addition. By contrast, hence means therefore, this is the reason why.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /fɝðɚmɔr/ Stress syllable 1 of 3. Keep the final /r/ audible.,general academic and professional,B2,v0245-s1
v0246,gender,,academic/professional word,AWL-derived core,condition of being male of female,noun,gender of + person; differences by gender,"The survey asks participants to report their gender voluntarily, which reduced the chance that readers would misinterpret the message.",gender identity; gender differences,Check whether gender is countable in this meaning before adding “a” or a plural ending.,"gender means condition of being male of female. By contrast, sex means the state of being either female or male.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /dʒɛndɚ/ Stress syllable 1 of 2. Use /dʒ/ “j,” as in job.",general academic and professional,B2,v0246-s1
v0247,generate,generated,academic/professional word,AWL-derived core,to produce or cause something to exist,verb,generate + noun,The simulation generated results that matched the observed pattern.,generate data; generate interest,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"generate means to produce or cause something to exist. By contrast, attribute means to identify something as the cause of a result.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /dʒɛnɚeɪt/ Stress syllable 1 of 3. Use /dʒ/ “j,” as in job. Keep the final /t/ audible.",cause and effect,C1,v0247-s1
v0248,generation,,academic/professional word,AWL-derived core,"the production of energy, data, or another output",noun,generation of + people/energy,"The current generation of students has grown up with mobile technology, so the class could connect the idea to the next activity.",younger generation; energy generation,Check whether generation is countable in this meaning before adding “a” or a plural ending.,"generation means the production of energy, data, or another output. By contrast, energy means power or ability to be physically or mentally active.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /dʒɛnɚeɪʃən/ Stress syllable 3 of 4. Use a clear /ʃ/ “sh” sound. Use /dʒ/ “j,” as in job. Keep the final /n/ audible.",STEM and technology,C1,v0248-s1
v0249,global,,academic/professional word,AWL-derived core,relating to the whole world,adjective,global + noun,"The lesson connects local water use to global environmental trends, so the class could connect the idea to the next activity.",global issue; global economy,Use global before a noun or after a linking verb; do not use it as an adverb without the correct form.,"global means relating to the whole world. By contrast, specific means relating to one thing and not others.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɡloʊbəl/ Stress syllable 1 of 2. For /b/, close both lips completely. Keep the final /l/ audible.",general academic and professional,C1,v0249-s1
v0250,goal,goals,academic/professional word,AWL-derived core,"aims, purposes or targets",noun,goal for + period; goal of + gerund,"The team set measurable goals for the next semester, which helped the manager assign the next responsibility accurately.",learning goal; long-term goal,Check whether goal is countable in this meaning before adding “a” or a plural ending.,"goal means aims, purposes or targets. By contrast, roadmap means a high-level plan showing major goals and stages.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɡoʊl/ Stress syllable 1 of 1. Keep the final /l/ audible.,planning and projects,B2,v0250-s1
v0251,grade,,academic/professional word,AWL-derived core,"to classify things or people by quality, rank or level",verb,grade + noun + with/by + standard,"The teacher graded the explanations with a common rubric, which made the learning task more accessible while preserving the same academic goal.",grade an assignment; grade according to,Do not use grade as a noun without changing its form; also check the required preposition or object.,"grade means to classify things or people by quality, rank or level. By contrast, differentiate means to adjust instruction or support for different learner needs.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɡreɪd/ Stress syllable 1 of 1. Keep the final /d/ audible.,education,B2,v0251-s1
v0252,grant,granted,academic/professional word,AWL-derived core,to officially give or allow something,verb,grant + person + noun; grant + noun + to + person,"The committee granted the research team access to the records, which gave the reviewers a clearer basis for evaluating the conclusion.",grant permission; be grant access,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"grant means to officially give or allow something. By contrast, assign means to give a person a particular task or role.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɡrænt/ Stress syllable 1 of 1. Keep the final /t/ audible.,general academic and professional,C1,v0252-s1
v0253,guarantee,,academic/professional word,AWL-derived core,to promise or make certain,verb,guarantee + noun; guarantee that + clause,"A strong correlation does not guarantee a causal relationship, so the reader could understand the intended relationship without guessing.",guarantee success; guarantee that,Do not use guarantee as a noun without changing its form; also check the required preposition or object.,"guarantee means to promise or make certain. By contrast, ensure means to make certain that something will happen.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɡɛrənti/ Stress syllable 3 of 3.,general academic and professional,C1,v0253-s1
v0254,guidelines,,academic/professional word,AWL-derived core,information to aid or advise people about something,noun,guidelines for + noun/gerund,"The department issued guidelines for the responsible use of artificial intelligence, which gave employees a shared standard for deciding what uses were acceptable.",official guidelines; follow guidelines,Check whether guidelines is countable in this meaning before adding “a” or a plural ending.,"guidelines means information to aid or advise people about something. By contrast, follow-through means the act of completing the actions promised or started.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɡaɪdlaɪnz/ Stress syllable 1 of 2. Let /aɪ/ glide smoothly, as in my. Keep the final /z/ audible.",general academic and professional,C1,v0254-s1
v0255,hence,,academic/professional word,AWL-derived core,"therefore, this is the reason why",adverb,"hence, + clause; hence + noun","The project cost increased; hence, the team reduced its scope.",hence the need; and hence,Check sentence position and punctuation; many sentence adverbs take a comma when they introduce a clause.,"hence means therefore, this is the reason why. By contrast, nevertheless means despite this, nonetheless, notwithstanding.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /hɛns/ Stress syllable 1 of 1. Keep the final /s/ audible.,general academic and professional,B2,v0255-s1
v0256,hierarchical,,academic/professional word,AWL-derived core,classified by rank or grade,adjective,hierarchical + noun,"The organization uses a hierarchical structure with several levels of approval, which gave the teacher clearer information for the following lesson.",hierarchical system; hierarchical structure,Use hierarchical before a noun or after a linking verb; do not use it as an adverb without the correct form.,"hierarchical means classified by rank or grade. By contrast, classical means traditional, or belonging to ancient Rome or Greece.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /haɪrɑrkəkəl/ Stress syllable 2 of 4. Let /aɪ/ glide smoothly, as in my. Keep the final /l/ audible.",education,B2,v0256-s1
v0257,highlight,highlighted,academic/professional word,AWL-derived core,to emphasize something as especially important,verb,highlight + noun; highlight that + clause,"The report highlighted three barriers to implementation, so the audience could understand the intended point without guessing.",highlight a concern; highlight that,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"highlight means to emphasize something as especially important. By contrast, diminish means to become smaller, weaker, or less important.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /haɪlaɪt/ Stress syllable 1 of 2. Let /aɪ/ glide smoothly, as in my. Keep the final /t/ audible.",general academic and professional,C1,v0257-s1
v0258,hypothesis,,academic/professional word,AWL-derived core,an idea based on observation but not yet proven,noun,hypothesis that + clause; hypothesis about + noun,"The class tested the hypothesis by changing one variable at a time, so the class could connect the idea to the next activity.",test a hypothesis; support a hypothesis,Check whether hypothesis is countable in this meaning before adding “a” or a plural ending.,"hypothesis means an idea based on observation but not yet proven. By contrast, conclusion means an opinion one reaches after careful consideration.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /haɪpɑθəsəs/ Stress syllable 2 of 4. Let /aɪ/ glide smoothly, as in my. Keep the final /s/ audible.",evidence,C1,v0258-s1
v0259,identical,,academic/professional word,AWL-derived core,the same in every way,adjective,be identical to + noun; identical + noun,"The two samples were identical in size and composition, so the reader could understand the intended relationship without guessing.",identical results; identical to,Use identical before a noun or after a linking verb; do not use it as an adverb without the correct form.,"identical means the same in every way. By contrast, consistent means in agreement with expectations or other facts.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /aɪdɛntɪkəl/ Stress syllable 2 of 4. Keep /ɪ/ short and relaxed, as in sit. Let /aɪ/ glide smoothly, as in my. Keep the final /l/ audible.",general academic and professional,C1,v0259-s1
v0260,identify,identified,academic/professional word,AWL-derived core,to recognize and name something,verb,identify + noun; identify X as Y,"The assessment identified several common misconceptions, so the reader could understand the intended relationship without guessing.",identify a problem; identify as,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"identify means to recognize and name something. By contrast, confirm means to show that information or a result is correct.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /aɪdɛntəfaɪ/ Stress syllable 2 of 4. Let /aɪ/ glide smoothly, as in my.",general academic and professional,B2,v0260-s1
v0261,ideology,,academic/professional word,AWL-derived core,system of beliefs or principles,noun,ideology of + group; ideology based on + belief,"The article examines how political ideology shapes policy preferences, so the people affected could understand the practical consequence.",political ideology; dominant ideology,Check whether ideology is countable in this meaning before adding “a” or a plural ending.,"ideology means system of beliefs or principles. By contrast, regime means a particular government or controlling group or system.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /aɪdiɑlədʒi/ Stress syllable 3 of 5. Use /dʒ/ “j,” as in job. Let /aɪ/ glide smoothly, as in my.",STEM and technology,B2,v0261-s1
v0262,ignore,ignored,academic/professional word,AWL-derived core,to give no attention to something,verb,ignore + noun,"The first analysis ignored differences in students’ prior preparation, which gave the teacher clearer information for the following lesson.",ignore a factor; largely ignore,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"ignore means to give no attention to something. By contrast, stress means to give emphasis or special attention to something.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɪɡnɔr/ Stress syllable 2 of 2. Keep /ɪ/ short and relaxed, as in sit. Keep the final /r/ audible.",general academic and professional,C1,v0262-s1
